State Name,District Name,Subdistrict Name,Facility Type,Facility Name,Facility Address,Latitude,Longitude,ActiveFlag_C,NOTIONAL_PHYSICAL,Location Type,Type Of Facility,Nin_N
Karnataka,Bagalkote,Bagalkot,sub_cen,BENNUR,NA,16.2514,75.778,Y,Physical,Rural,Public,4223447436
Karnataka,Bagalkote,Mudhole,sub_cen,METAGUDDA,NA,16.2537,75.2535,Y,Physical,Rural,Public,8455835648
Karnataka,Belgaum,Hukkeri,sub_cen,NERLI,NA,16.255,74.5479,Y,Physical,Rural,Public,8323767817
Karnataka,Belgaum,Gokak,sub_cen,DURADUNDI,NA,16.2575,74.8144,Y,Physical,Rural,Public,5721722212
Karnataka,Belgaum,Gokak,sub_cen,TIGADI,NA,16.2576,74.967,Y,Physical,Rural,Public,8338626271
Karnataka,Bagalkote,Bagalkot,sub_cen,HODLUR,NA,16.258,75.8174,Y,Physical,Rural,Public,1646123156
Karnataka,Raichur,Raichur,sub_cen,YERMARUS,NA,16.2591,77.3528,Y,Physical,Rural,Public,6574366388
Karnataka,Belgaum,Gokak,sub_cen,MASAGUPPI,NA,16.2593,74.9569,Y,Physical,Rural,Public,5883273814
Karnataka,Bagalkote,Mudhole,sub_cen,ALAGUNDI,NA,16.2594,75.4265,Y,Physical,Rural,Public,8167664583
Karnataka,Bagalkote,Bilagi,sub_cen,TUMMMARAMATTI,NA,16.2595,75.6436,Y,Physical,Rural,Public,8778221856
Karnataka,Bijapur,Muddebihal,sub_cen,VEERESHANAGAR,NA,16.2603,76.3267,Y,Physical,Rural,Public,4645775349
Karnataka,Bagalkote,Bagalkot,sub_cen,BILKERUR,NA,16.2611,75.8629,Y,Physical,Rural,Public,8612338866
Karnataka,Raichur,Devadurga,sub_cen,JAGATGAL,NA,16.2616,77.0433,Y,Physical,Rural,Public,3862256884
Karnataka,Bagalkote,Bilagi,sub_cen,CHIKKALAGUNDI,NA,16.2618,75.4383,Y,Physical,Rural,Public,5366734860
Karnataka,Belgaum,Hukkeri,sub_cen,HULLOLI,NA,16.2629,74.654,Y,Physical,Rural,Public,6886133377
Karnataka,Bagalkote,Mudhole,sub_cen,CHINCHAKANDI KD,NA,16.264,75.3215,Y,Physical,Rural,Public,7841372282
Karnataka,Bagalkote,Bilagi,sub_cen,HERAKALL,NA,16.2646,75.6938,Y,Physical,Rural,Public,6854881718
Karnataka,Raichur,Raichur,sub_cen,J.VENKTAPUR,NA,16.2652,77.2437,Y,Physical,Rural,Public,6767447136
Karnataka,Belgaum,Gokak,sub_cen,KALLOLI - B,NA,16.2654,74.8689,Y,Physical,Rural,Public,1534748346
Karnataka,Raichur,Devadurga,sub_cen,GALAG,NA,16.2663,76.8392,Y,Physical,Rural,Public,7863431768
Karnataka,Belgaum,Gokak,sub_cen,KALLOLI - A,NA,16.2679,74.8704,Y,Physical,Rural,Public,NA
Karnataka,Raichur,Lingsagur,sub_cen,YELLAGETTA,NA,16.2682,76.738,Y,Physical,Rural,Public,8764812361
Karnataka,Belgaum,Hukkeri,sub_cen,E-MUNNOLLI(A),NA,16.27,74.5803,Y,Physical,Rural,Public,NA
Karnataka,Bijapur,Muddebihal,sub_cen,KOLUR,NA,16.2725,76.1486,Y,Physical,Rural,Public,8171688727
Karnataka,Raichur,Raichur,sub_cen,MARCHED,NA,16.2731,77.3036,Y,Physical,Rural,Public,1511175778
Karnataka,Belgaum,Hukkeri,sub_cen,ANKALI,NA,16.2739,74.4904,Y,Physical,Rural,Public,5787653582
Karnataka,Belgaum,Gokak,sub_cen,SUNADHOLI,NA,16.2746,74.989,Y,Physical,Rural,Public,2122665140
Karnataka,Belgaum,Gokak,sub_cen,HOSAYARAGUDRI,NA,16.2753,75.1288,Y,Physical,Rural,Public,6531221726
Karnataka,Raichur,Devadurga,sub_cen,ARKERA,NA,16.277,76.951,Y,Physical,Rural,Public,8588576168
Karnataka,Bagalkote,Bilagi,sub_cen,ARAKERI,NA,16.2798,75.5038,Y,Physical,Rural,Public,2632221236
Karnataka,Bijapur,Muddebihal,sub_cen,NAGARABETTA,NA,16.28,76.2546,Y,Physical,Rural,Public,7178582826
Karnataka,Raichur,Devadurga,sub_cen,MALADKAL,NA,16.2807,77.1047,Y,Physical,Rural,Public,6883452242
Karnataka,Raichur,Raichur,sub_cen,SHAKWADI,NA,16.2813,77.409,Y,Physical,Rural,Public,4134567876
Karnataka,Bijapur,Muddebihal,sub_cen,NEBAGERI,NA,16.2818,76.1146,Y,Physical,Rural,Public,4586314686
Karnataka,Bagalkote,Bagalkot,sub_cen,BOMMANAGI,NA,16.2824,76.0105,Y,Physical,Rural,Public,3376383638
Karnataka,Bagalkote,Bagalkot,sub_cen,SUTAGUNDARA,NA,16.2836,75.9886,Y,Physical,Rural,Public,2748653587
Karnataka,Belgaum,Gokak,sub_cen,DHARMATTI,NA,16.2839,74.9464,Y,Physical,Rural,Public,2855247876
Karnataka,Belgaum,Gokak,sub_cen,RAJAPUR,NA,16.289,74.8275,Y,Physical,Rural,Public,8486123733
Karnataka,Belgaum,Hukkeri,sub_cen,BELAVI,NA,16.2897,74.6251,Y,Physical,Rural,Public,4428246336
Karnataka,Bagalkote,Bilagi,sub_cen,SUNAG,NA,16.2907,75.6171,Y,Physical,Rural,Public,7448461264
Karnataka,Raichur,Lingsagur,sub_cen,GURGUNTA,NA,16.2915,76.6304,Y,Physical,Rural,Public,7584427533
Karnataka,Bagalkote,Bilagi,sub_cen,JANAMATTI,NA,16.292,75.5425,Y,Physical,Rural,Public,6355688349
Karnataka,Bagalkote,Mudhole,sub_cen,VAJRAMATTI,NA,16.292,75.3746,Y,Physical,Rural,Public,8273476625
Karnataka,Belgaum,Hukkeri,sub_cen,NIDASOSI,NA,16.2922,74.5229,Y,Physical,Rural,Public,7581168841
Karnataka,Bagalkote,Bagalkot,sub_cen,NAINEGALI,NA,16.2934,75.947,Y,Physical,Rural,Public,8522648859
Karnataka,Raichur,Raichur,sub_cen,YAPALDINNI,NA,16.2942,77.5215,Y,Physical,Rural,Public,2588878112
Karnataka,Belgaum,Hukkeri,sub_cen,AMMANAGI,NA,16.2943,74.553,Y,Physical,Rural,Public,4667347233
Karnataka,Belgaum,Hukkeri,sub_cen,SOLAPURA,NA,16.2943,74.4259,Y,Physical,Rural,Public,8324682338
Karnataka,Bijapur,Muddebihal,sub_cen,SARUR,NA,16.2949,76.17,Y,Physical,Rural,Public,7353673473
Karnataka,Belgaum,Hukkeri,sub_cen,HONNIHALLI,NA,16.2952,74.4042,Y,Physical,Rural,Public,5248872243
Karnataka,Raichur,Devadurga,sub_cen,RAMDURGA,NA,16.2967,77.0714,Y,Physical,Rural,Public,8652657787
Karnataka,Bagalkote,Mudhole,sub_cen,INGALAGI,NA,16.2975,75.3411,Y,Physical,Rural,Public,8673752583
Karnataka,Bagalkote,Bagalkot,sub_cen,RAMPURA,NA,16.2989,75.8922,Y,Physical,Rural,Public,8627737623
Karnataka,Yadgir,Surapur,sub_cen,JOGUNDABHAVI,NA,16.3001,76.3642,Y,Physical,Rural,Public,1611127372
Karnataka,Raichur,Devadurga,sub_cen,GANDAL,NA,16.3016,76.7877,Y,Physical,Rural,Public,5585786675
Karnataka,Belgaum,Gokak,sub_cen,AVARADI,NA,16.3027,75.1315,Y,Physical,Rural,Public,6531571617
Karnataka,Raichur,Devadurga,sub_cen,GABBUR,NA,16.3028,77.1565,Y,Physical,Rural,Public,3471443469
Karnataka,Belgaum,Hukkeri,sub_cen,B.BAGEWADI,NA,16.3035,74.7216,Y,Physical,Rural,Public,NA
Karnataka,Raichur,Devadurga,sub_cen,B.GANEKAL,NA,16.3036,76.8872,Y,Physical,Rural,Public,7786353420
Karnataka,Belgaum,Hukkeri,sub_cen,AMMINABAVI,NA,16.3045,74.5433,Y,Physical,Rural,Public,5464336444
Karnataka,Yadgir,Surapur,sub_cen,JUMALPUR,NA,16.3052,76.4674,Y,Physical,Rural,Public,3415838469
Karnataka,Belgaum,Chikkodi,sub_cen,JAGNUR,NA,16.3083,74.7581,Y,Physical,Rural,Public,5141281252
Karnataka,Belgaum,Hukkeri,sub_cen,BUGATE ALUR,NA,16.3088,74.3555,Y,Physical,Rural,Public,8126842833
Karnataka,Belgaum,Bailahongala,sub_cen,NAGANUR A,NA,16.309133,74.916251,Y,Physical,Rural,Public,NA
Karnataka,Bagalkote,Bagalkot,sub_cen,GULABALA,NA,16.3092,75.8552,Y,Physical,Rural,Public,1557112826
